Element,sigma_p,sigma_n,S_p,S_n,kappa_p,kappa_n,PF_p,PF_n,m_p,m_n
H,14646.57706,14674.27699,738.6523347,-515.5213536,108580.5502,108744.3055,2.172181748,7.156793696,0.001868154,0.001864669
He,3.773630351,20.43383482,849.6325633,-634.9326158,19.03441815,112.5491759,2.649071634,7.359982003,7.924449475,1.481000318
Li,46511.37556,46519.55126,456.1031619,-379.8658599,346238.9563,346297.016,8.043931444,8.0926106,0.000646068,0.000645947
Be,223201.8378,223224.9622,205.4448099,-43.56972963,1659450.458,1659571.874,14.57003371,17.02811373,0.000126315,0.00012631
B,103667.3419,103686.9354,393.4983497,-303.3425799,763644.4263,763774.1324,10.63533486,12.95584703,0.000268309,0.000268251
C,34186.33517,34182.10615,518.9706708,-543.0263829,259824.0721,259795.619,7.874438805,7.705405766,0.000835509,0.000835706
N,-38057.92968,-38039.67089,747.6702355,-654.5986828,-280191.0626,-280181.2876,1.995360868,3.50436911,-0.000736721,-0.000737103
O,-57747.51946,-57729.00083,736.7362453,-598.8369904,-424112.1765,-424009.3862,-0.055027789,2.71666269,-0.000478349,-0.000478495
F,-45920.38625,-45907.04908,846.8504535,-698.6299424,-336340.7728,-336253.5919,-0.843218707,1.60921315,-0.000605553,-0.000605728
Ne,1.970482903,35.586269,969.17829,-464.94585,9.658017019,198.9661964,1.85088751,7.692849012,14.30076009,0.791861694
Na,48745.00146,48811.60795,545.8812627,-254.6864859,359849.5927,360154.0439,8.385367957,13.37962164,0.000575763,0.000574952
Mg,198792.6631,198823.3252,173.8091819,-56.0521824,1457605.764,1457782.629,14.57360516,16.49091304,0.000141288,0.000141263
Al,157325.8637,157354.8977,201.9377638,-37.09278318,1153256.418,1153411.213,13.65537475,16.80903446,0.000178962,0.000178927
Si,72573.11075,72610.43282,413.3077281,-232.3496352,530530.9987,530736.5594,10.87047774,15.31856338,0.000380439,0.00038025
P,38737.5495,38746.18727,279.6544937,-271.1424035,289793.8988,289843.0388,9.471225921,10.44430763,0.000683586,0.000683449
S,-66059.69941,-66035.65498,688.7617189,-589.3759483,-486715.2063,-486589.1184,4.116789442,6.578618187,-0.000414302,-0.000414428
Cl,-49651.04892,-49643.56205,778.0546601,-692.4978585,-365059.873,-365000.8324,-0.201691755,1.270504396,-0.000568062,-0.000568144
Ar,3.064657166,43.84844016,889.361635,-433.1091567,15.66298847,251.8101583,2.426409266,8.22514975,9.204655468,0.642659116
K,34088.91252,34148.95083,661.9916447,-388.4447847,241751.6322,242054.0274,3.710162549,9.602507606,0.000807487,0.000806074
Ca,99974.30114,99993.23162,264.7974578,-138.3814783,737771.631,737917.3953,15.00991955,17.46788243,0.000279612,0.000279554
Sc,176610.5701,176589.3955,-35.35818442,-23.89839874,1282440.499,1282374.309,21.92432337,20.2576274,0.000159213,0.000159229
Ti,191647.4624,191617.1814,-282.0176416,114.1023304,1407571.906,1407437.313,29.99538002,26.86722492,0.000150145,0.00015017
V,163263.2346,163219.6033,-37.3236736,-243.818599,1194557.169,1194305.12,14.94495033,9.382393902,0.000174335,0.00017438
Cr,205569.8984,205534.1999,-253.3491945,50.53564017,1497618.635,1497407.651,18.11997276,14.18289415,0.000137009,0.000137033
Mn,154379.9844,154367.6018,-543.4082238,435.9231652,1128447.302,1128315.022,20.36965056,17.63882657,0.000183929,0.000183943
Fe,123955.6495,123933.6394,-232.0789664,94.0907216,908448.7079,908327.1076,16.5589639,13.20923707,0.000228936,0.000228973
Co,148028.0204,147998.5402,-431.2298596,272.9728542,1083667.597,1083535.517,26.06578646,21.8785579,0.000195097,0.000195132
Ni,252654.0586,252632.9948,-266.3409746,160.0946691,1845205.08,1845138.07,25.26041816,22.34306672,0.000112631,0.00011264
Cu,245778.3533,245774.7901,-452.569845,361.6966514,1814700.117,1814544.757,26.80483148,25.65267379,0.000119055,0.000119058
Zn,220317.9993,220374.6761,169.3645427,-5.197535992,1612590.372,1612812.222,15.38930575,17.02091113,0.000127889,0.000127858
Ga,161397.3224,161461.5099,220.1095337,-39.61564416,1183510.545,1183822.458,17.83048015,20.63066982,0.000173757,0.000173691
Ge,112399.8255,112438.0625,239.5751635,-114.8107851,829753.6917,829903.8443,17.11451856,20.35038171,0.00024795,0.000247867
As,-7361.599414,-7307.77886,392.4452343,-310.7745202,-42750.54636,-42670.32034,11.30879117,13.63361616,-0.004627337,-0.004668149
Se,-70254.34716,-70218.84221,646.9921645,-550.0279671,-511986.9775,-511814.9459,6.124196263,8.580446756,-0.000401393,-0.000401584
Br,-60391.38472,-60370.06311,799.3423707,-666.2171993,-441831.8234,-441690.0839,0.356257064,3.295846787,-0.000469396,-0.000469544
Kr,8995.160395,9036.801777,866.0289108,-448.8390997,65681.19013,65911.0061,2.428663306,9.00288029,0.003089618,0.00307608
Rb,49964.53018,50005.72068,432.8342218,-233.6711829,359558.5527,359752.3558,6.492357156,11.08203483,0.00055716,0.000556671
Sr,103400.1319,103426.9746,198.6892294,-101.4103106,758669.2276,758846.8725,18.09819833,20.05041275,0.000276073,0.000275997
Y,173033.883,173035.698,93.68872868,-53.79630255,1275996.847,1276008.486,24.5810005,24.71840725,0.0001634,0.000163395
Zr,193873.3839,193860.3778,-23.00690658,-30.30939565,1420025.578,1420001.925,23.12279857,21.93166046,0.000145153,0.000145166
Nb,227187.5015,227165.5045,-259.9654418,112.1767178,1662558.407,1662421.318,24.51607994,24.41870549,0.000124953,0.000124972
Mo,239708.2806,239669.3653,-277.1883146,75.98425728,1752147.081,1751930.106,19.62778133,16.31860796,0.000119014,0.000119034
Tc,488563.8261,488542.7772,-212.2158601,71.18717691,3594539.643,3594409.417,22.76741544,20.00638668,5.76E-05,5.76E-05
Ru,300614.1324,300575.3647,-344.0224259,262.3057229,2193270.686,2193151.194,31.61530045,28.80605828,9.40E-05,9.40E-05
Rh,299353.11,299333.1573,-154.6524823,109.1713702,2215917.189,2215884.236,24.08088649,23.16652119,9.42E-05,9.42E-05
Pd,330038.9348,330022.5646,-126.7539023,80.3307176,2426118.3,2426103.325,24.24309004,23.32029032,8.54E-05,8.54E-05
Ag,200925.6148,200974.7217,34.00272875,42.78526199,1479187.16,1479193.648,16.42703668,17.10095134,0.000140408,0.00014037
Cd,209971.7551,210065.7165,222.1232797,-0.509162544,1526454.636,1526491.236,13.77613887,16.70807701,0.000133778,0.000133713
In,205717.0573,205785.0644,83.25610532,45.19519666,1509372.153,1509516.12,10.78949136,12.52890978,0.000136286,0.000136235
Sn,126736.9076,126773.734,124.1582715,-65.59084956,934071.7577,934164.6632,16.37890992,18.72348504,0.000220362,0.0002203
Sb,28506.06702,28542.53084,211.291085,-182.1216356,225083.8074,225141.0455,15.47630526,17.95677256,0.001005039,0.001004074
Te,-31944.48054,-31911.70757,424.94949,-378.5152533,-225020.1146,-224919.2708,12.07770712,13.62195759,-0.000893027,-0.000893918
I,-61686.4901,-61668.0803,763.0549179,-662.9199895,-451747.7168,-451609.2747,1.720104155,4.415443173,-0.000457804,-0.000457883
Xe,42809.288,42836.7692,772.8225027,-474.4576111,313156.2086,313308.5747,4.188406517,7.814516427,0.000647831,0.000647439
Cs,16169.57814,16219.15232,631.2342167,-363.1359658,113418.0051,113680.7298,4.171905025,10.4397984,0.001643421,0.001638705
Ba,62186.35786,62199.72394,197.2206286,-136.5393806,453901.4712,454000.847,15.37839928,16.82117099,0.000457989,0.000457872
Hf,197541.6183,197540.2814,58.2242042,-39.59749363,1444523.794,1444602.261,19.53127819,19.45820627,0.000143604,0.000143605
Ta,241488.986,241478.2544,-51.41683387,-16.56790369,1773451.847,1773419.962,18.34388645,18.9514688,0.000116049,0.000116061
W,318577.773,318567.7764,-44.44934909,-123.2939801,2339021.416,2338999.939,20.60773784,19.89468622,9.01E-05,9.02E-05
Re,317137.4697,317112.9365,-141.9018735,4.587537974,2309276.017,2309149.014,21.86233171,19.06788774,8.89E-05,8.89E-05
Os,319842.3853,319806.2917,-179.5913666,44.2025274,2349373.196,2349143.567,37.12721867,34.26719388,8.81E-05,8.81E-05
Ir,289843.0721,289815.2439,-224.6225333,160.8804488,2240133.383,2240158.487,19.38307753,17.37384434,9.74E-05,9.74E-05
Pt,267672.8206,267657.8464,-51.29777439,5.389022257,1975297.1,1975204.132,18.36724487,17.22255457,0.000105454,0.000105461
Au,324374.057,324361.4986,-18.74595916,-36.53975772,2383529.052,2383448.983,21.12062589,21.04207243,8.69E-05,8.69E-05
Hg,226984.6963,227041.6426,160.6572712,-10.09454677,1660154.748,1660220.05,14.67471322,17.95032057,0.000123871,0.000123841
Tl,183792.3892,183817.1381,139.3559102,-158.2972477,1371180.268,1371237.695,16.97176172,19.96828427,0.000153013,0.000152996
Pb,143313.2867,143338.1374,194.7194793,-162.4705406,1064992.079,1065114.518,19.43254234,22.55550469,0.000194612,0.00019458
Bi,103135.012,103172.6523,111.8858866,-80.96944956,763852.4164,763936.4758,18.50268388,20.90051016,0.000276223,0.000276168
La,135099.2399,135075.0225,15.50311674,-127.17393,985585.5315,985474.3207,14.68423262,10.97609414,0.000209295,0.000209324
Ce,12553.73565,12514.62608,-386.5925311,298.8756203,93742.98354,93553.61371,40.0893452,36.29955887,0.00214638,0.002152937
Pr,197405.6806,197390.2366,-92.67805351,51.05585055,1439228.682,1439136.259,15.85588252,14.00414106,0.000143149,0.000143159
Nd,201818.7341,201807.1674,-40.68178519,5.977475414,1474296.83,1474254.493,18.77398805,17.17379904,0.000140366,0.000140373
Pm,366099.2864,366083.5418,-22.72116791,4.777823092,2628772.592,2628713.707,32.17741083,32.25234697,7.69E-05,7.69E-05
Sm,234862.5129,234852.8266,-40.27444655,11.20956562,1724595.376,1724563.597,19.8121646,18.80296336,0.000120061,0.000120065
Eu,140881.8416,140883.8962,-709.95082,592.4025881,994053.0236,994173.9416,46.35414501,44.88734787,0.000199656,0.000199657
Gd,177361.8481,177291.5435,84.93643299,-422.8301557,1258827.788,1258428.963,15.92287252,6.781106785,0.00015798,0.000158037
Tb,179313.3179,179302.184,-52.81169573,19.59879916,1316865.216,1316772.838,23.16938673,21.66881116,0.000159397,0.000159401
Dy,186640.4231,186634.3555,62.60910035,-66.71442563,1374492.483,1374485.589,21.99748352,21.15971665,0.000150622,0.000150632
Ho,195212.6646,195209.3428,72.46356961,-61.35702158,1430061.033,1430058.466,16.43302452,16.45573763,0.000144597,0.000144599
Er,179315.7832,179309.5148,58.01718089,-49.98716147,1316279.208,1316265.841,18.99237775,18.96256608,0.000156481,0.000156481
Tm,246193.993,246185.9587,60.95530312,-43.04770763,1799113.348,1799106.508,18.99852174,18.73352733,0.000114158,0.000114158
Yb,215624.3412,215620.3522,-270.181234,211.6784623,1590617.648,1590580.136,22.29346342,21.24714715,0.00013143,0.000131433
Lu,198398.6442,198402.8906,79.56920462,-52.88523605,1461834.564,1461905.334,14.75084849,15.03285993,0.000141276,0.000141272
Ac,250290.5166,250303.1502,-27.43862371,21.64608025,1797192.784,1797265.765,27.14108396,26.12416244,0.000112516,0.000112514
Th,322458.6962,322443.8683,-12.20900344,-50.71335778,2374107.713,2373935.554,16.34602447,13.75963681,8.78E-05,8.78E-05
Pa,360901.9127,360879.7905,-136.4720725,98.75903885,2584385.512,2584270.829,25.3630469,23.57757022,7.80E-05,7.80E-05
U,102670.0258,102628.6558,-455.7966683,259.6919136,739374.2092,739180.1288,22.75535989,17.98302984,0.000272298,0.000272401
Np,135360.1042,135334.9905,-401.2916252,294.979766,967808.9128,967710.2688,18.8176903,16.74591572,0.000215208,0.000215247
Pu,60359.31182,60353.80887,-206.4575704,152.8042758,435248.9614,435218.7243,14.34005521,13.75176393,0.000464642,0.000464684
Po,,,,,,,,,,
At,,,,,,,,,,
Rn,,,,,,,,,,
Fr,,,,,,,,,,
Ra,,,,,,,,,,
Rf,,,,,,,,,,
Db,,,,,,,,,,
Sg,,,,,,,,,,
Bh,,,,,,,,,,
Hs,,,,,,,,,,
Mt,,,,,,,,,,
Ds,,,,,,,,,,
Rg,,,,,,,,,,
Cn,,,,,,,,,,
Nh,,,,,,,,,,
Fl,,,,,,,,,,
Mc,,,,,,,,,,
Lv,,,,,,,,,,
Ts,,,,,,,,,,
Og,,,,,,,,,,
Am,,,,,,,,,,
Cm,,,,,,,,,,
Bk,,,,,,,,,,
Cf,,,,,,,,,,
Es,,,,,,,,,,
Fm,,,,,,,,,,
Md,,,,,,,,,,
No,,,,,,,,,,
Lr,,,,,,,,,,
